member_id,time_retrieved,honorific,first_name,last_name,constituency,province_territory,party,email,website,gov_level,image_url,source_url
7493,1709323701115,,Deepak,Anand,Mississauga—Malton,Ontario,Conservative,Deepak.anandco@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Deepak-Anand.jpg,https://www.ola.org/en/members/all/deepak-anand
7517,1709323701115,,Jill,Andrew,Toronto—St. Paul's,Ontario,NDP,JAndrew-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/jill-andrew.jpg,https://www.ola.org/en/members/all/jill-andrew
7183,1709323701115,,Teresa,Armstrong,London—Fanshawe,Ontario,NDP,,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/teresa_armstrong_0.jpg,https://www.ola.org/en/members/all/teresa-j-armstrong
2,1709323701115,Hon.,Ted,Arnott,Wellington—Halton Hills,Ontario,Conservative,ted.arnott@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/ted_arnott_0.jpg,https://www.ola.org/en/members/all/ted-arnott
7509,1709323701115,,Aris,Babikian,Scarborough—Agincourt,Ontario,Conservative,Aris.Babikian@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/aris_babikian_.jpg,https://www.ola.org/en/members/all/aris-babikian
7086,1709323701115,,Robert,Bailey,Sarnia—Lambton,Ontario,Conservative,Bob.Bailey@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/bob_bailey_0.jpg,https://www.ola.org/en/members/all/robert-bailey
7584,1709323701115,,Patrice,Barnes,Ajax,Ontario,Conservative,Patrice.Barnes@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/Patrice_Barnes.png,https://www.ola.org/en/members/all/patrice-barnes
7508,1709323701115,,Doly,Begum,Scarborough Southwest,Ontario,NDP,DBegum-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/doly_begum_0.jpg,https://www.ola.org/en/members/all/doly-begum
7518,1709323701115,,Jessica,Bell,University—Rosedale,Ontario,NDP,JBell-QP@ndp.on.ca,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/jessica_bell.jpg,https://www.ola.org/en/members/all/jessica-bell
7505,1709323701115,Hon.,Peter,Bethlenfalvy,Pickering—Uxbridge,Ontario,Conservative,Peter.Bethlenfalvy@pc.ola.org,,Provincial,https://www.ola.org/sites/default/files/member/profile-photo/peter_bethlenfalvy.jpg,https://www.ola.org/en/members/all/peter-bethlenfalvy
